t	 ir 
1265.83	0
1265.88	0.33678
1265.93	3.54069
1265.98	11.17006
1266.03	15.6197
1266.08	8.40439
1266.13	-4.40466
1266.18	-10.42255
1266.23	-6.78353
1266.28	0.35222
1266.33	3.96292
1266.38	2.09979
1266.43	-1.42544
1266.48	-2.53119
1266.53	-1.25201
1266.58	-0.13751
1266.63	-0.7238
1266.68	-1.83883
1266.73	-1.92786
1266.78	-1.52204
1266.83	-0.61218
1266.88	3.43366
1266.93	8.94226
1266.98	6.30659
1267.03	-6.08641
1267.08	-15.58852
1267.13	-14.23959
1267.18	-6.93128
1267.23	-1.83137
1267.28	-1.97563
1267.33	-4.0285
1267.38	-4.00493
1267.43	-1.67201
1267.48	0.71962
1267.53	1.35357
1267.58	0.80571
1267.63	0.71083
1267.68	2.05027
1267.73	6.57737
1267.78	12.25267
1267.83	9.57298
1267.88	-2.90373
1267.93	-12.23563
1267.98	-10.17904
1268.03	-1.79896
1268.08	3.77265
1268.13	2.83743
1268.18	-0.77334
1268.23	-2.11168
1268.28	-0.7295
1268.33	1.13725
1268.38	2.33422
1268.43	2.51853
1268.48	1.65768
1268.53	1.05013
1268.58	2.24051
1268.63	6.60537
1268.68	11.22218
1268.73	7.26565
1268.78	-4.82336
1268.83	-12.09447
1268.88	-8.55532
1268.93	-0.94211
1268.98	2.73933
1269.03	1.02994
1269.08	-2.15848
1269.13	-3.10669
1269.18	-1.58999
1269.23	0.2389
1269.28	0.82354
1269.33	0.3985
1269.38	-0.19801
1269.43	-0.03526
1269.48	3.62969
1269.53	10.8118
1269.58	11.76906
1269.63	0.46854
1269.68	-11.84647
1269.73	-12.67117
1269.78	-4.55994
1269.83	1.90239
1269.88	1.72033
1269.93	-1.52404
1269.98	-2.49711
1270.03	-0.53882
1270.08	1.52028
1270.13	2.24534
1270.18	1.92606
1270.23	1.4458
1270.28	3.84021
1270.33	9.77349
1270.38	10.70106
1270.43	0.74949
1270.48	-10.70998
1270.53	-12.38776
1270.58	-5.53696
1270.63	0.77967
1270.68	1.39272
1270.73	-1.19718
1270.78	-2.41568
1270.83	-0.94668
1270.88	1.23155
1270.93	2.23913
1270.98	2.10288
1271.03	1.84938
1271.08	4.13042
1271.13	9.85378
1271.18	11.34356
1271.23	2.3866
1271.28	-9.05539
1271.33	-12.4843
1271.38	-7.93222
1271.43	-2.18948
1271.48	-0.28498
1271.53	-1.59526
1271.58	-2.73963
1271.63	-1.8958
1271.68	0.11053
1271.73	1.43355
1271.78	1.74247
1271.83	1.5418
1271.88	2.15298
1271.93	6.90678
1271.98	12.51636
1272.03	8.58454
1272.08	-3.67071
1272.13	-11.21504
1272.18	-8.71964
1272.23	-2.21535
1272.28	1.00259
1272.33	-0.53396
1272.38	-2.91478
1272.43	-2.63018
1272.48	-0.2805
1272.53	1.59987
1272.58	2.01233
1272.63	1.61223
1272.68	2.22161
1272.73	6.04486
1272.78	10.05347
1272.83	6.24498
1272.88	-4.69894
1272.93	-11.39848
1272.98	-8.26455
1273.03	-1.67563
1273.08	0.77292
1273.13	-0.78174
1273.18	-1.85757
1273.23	-0.76661
1273.28	1.09148
1273.33	2.25821
1273.38	2.19309
1273.43	1.20265
1273.48	1.46197
1273.53	5.86904
1273.58	10.64808
1273.63	6.55499
1273.68	-5.01894
1273.73	-11.95716
1273.78	-9.15365
1273.83	-2.39687
1273.88	0.92625
1273.93	-0.75817
1273.98	-3.41167
1274.03	-3.47739
1274.08	-1.04248
1274.13	1.85399
1274.18	3.31619
1274.23	2.77332
1274.28	1.31142
1274.33	1.16939
1274.38	5.3618
1274.43	11.66812
1274.48	9.91935
1274.53	-1.81604
1274.58	-11.46697
1274.63	-11.29248
1274.68	-5.37371
1274.73	-0.57778
1274.78	0.22921
1274.83	-1.39296
1274.88	-2.1884
1274.93	-0.76068
1274.98	1.09846
1275.03	1.67669
1275.08	1.74103
1275.13	2.08913
1275.18	2.22797
1275.23	3.14793
1275.28	7.27774
1275.33	10.98409
1275.38	5.98627
1275.43	-5.56888
1275.48	-12.18264
1275.53	-9.50743
1275.58	-3.1347
1275.63	0.43941
1275.68	-0.47799
1275.73	-3.16171
1275.78	-3.80545
1275.83	-1.14568
1275.88	2.06003
1275.93	2.67923
1275.98	1.24839
1276.03	0.3294
1276.08	3.11536
1276.13	10.22675
1276.18	13.33285
1276.23	5.14055
1276.28	-7.01197
1276.33	-11.87604
1276.38	-8.24628
1276.43	-2.12389
1276.48	0.53772
1276.53	-1.3408
1276.58	-3.43973
1276.63	-2.4179
1276.68	0.38306
1276.73	2.58842
1276.78	3.2725
1276.83	2.37162
1276.88	0.91264
1276.93	0.82264
1276.98	4.5659
1277.03	10.70358
1277.08	9.82876
1277.13	-1.38586
1277.18	-11.64916
1277.23	-11.95315
1277.28	-5.80701
1277.33	-1.13802
1277.38	-0.89671
1277.43	-2.50018
1277.48	-2.8153
1277.53	-0.86585
1277.58	1.73654
1277.63	2.67123
1277.68	1.88355
1277.73	1.16293
1277.78	1.26092
1277.83	1.8886
1277.88	5.29013
1277.93	11.51929
1277.98	11.30495
1278.03	0.41985
1278.08	-9.97695
1278.13	-10.80582
1278.18	-5.35431
1278.23	-0.65154
1278.28	-0.08906
1278.33	-2.08035
1278.38	-3.07019
1278.43	-1.82118
1278.48	0.20965
1278.53	1.21397
1278.58	0.97281
1278.63	1.67704
1278.68	6.14571
1278.73	11.45589
1278.78	8.70477
1278.83	-2.55377
1278.88	-11.09538
1278.93	-9.94939
1278.98	-3.17629
1279.03	1.39261
1279.08	0.50819
1279.13	-2.86785
1279.18	-4.10733
1279.23	-1.58596
1279.28	1.94581
1279.33	3.00139
1279.39	1.65974
1279.43	1.94888
1279.48	7.15576
1279.54	11.9817
1279.58	7.10353
1279.63	-4.75154
1279.68	-11.42899
1279.73	-8.69547
1279.78	-2.5849
1279.83	0.15138
1279.88	-1.51858
1279.93	-3.70405
1279.98	-3.09586
1280.03	-0.23945
1280.08	2.19925
1280.13	2.93052
1280.18	2.54417
1280.23	2.13608
1280.28	4.72608
1280.33	11.04851
1280.39	11.87833
1280.43	1.16001
1280.48	-10.68519
1280.54	-12.6299
1280.58	-6.67308
1280.64	-0.87124
1280.69	0.11806
1280.73	-1.99893
1280.79	-2.95427
1280.84	-1.19025
1280.89	1.48779
1280.94	2.6329
1280.99	1.75662
1281.04	1.03181
1281.09	4.38399
1281.14	10.59957
1281.19	9.91082
1281.24	-0.30745
1281.29	-9.32911
1281.34	-9.69599
1281.39	-4.12938
1281.44	0.69206
1281.49	0.793
1281.54	-1.6495
1281.59	-2.56788
1281.64	-1.38078
1281.69	0.01058
1281.74	0.4511
1281.79	0.08863
1281.84	0.05958
1281.89	3.72328
1281.94	10.93614
1281.99	11.76254
1282.04	1.44851
1282.09	-9.25237
1282.14	-10.79656
1282.19	-5.68216
1282.24	-1.10776
1282.29	-0.48684
1282.34	-1.86036
1282.39	-2.2108
1282.44	-0.97366
1282.49	0.62772
1282.54	1.5342
1282.59	1.90541
1282.64	2.03891
1282.69	1.86273
1282.74	4.26387
1282.79	11.1251
1282.84	13.71309
1282.89	4.26866
1282.94	-8.55082
1282.99	-13.04441
1283.04	-9.28778
1283.09	-3.80481
1283.14	-1.10459
1283.19	-1.47347
1283.24	-2.54572
1283.29	-2.35288
1283.34	-1.01642
1283.39	0.50403
1283.44	1.58497
1283.49	1.84569
1283.54	1.49661
1283.59	3.73859
1283.64	10.41452
1283.69	12.61075
1283.74	3.15028
1283.79	-8.69646
1283.84	-11.93878
1283.89	-7.20229
1283.94	-1.26904
1283.99	0.86885
1284.04	-0.36139
1284.09	-1.66372
1284.14	-1.39483
1284.19	0.07316
1284.24	1.60898
1284.29	2.08491
1284.34	1.73064
1284.39	3.6004
1284.44	9.43068
1284.49	12.03005
1284.54	4.09263
1284.59	-7.70294
1284.64	-12.00158
1284.69	-7.64672
1284.74	-1.373
1284.79	1.13276
1284.84	-0.94084
1284.89	-3.99821
1284.94	-4.0226
1284.99	-1.20849
1285.04	1.59719
1285.09	2.66516
1285.14	1.92593
1285.19	0.6844
1285.24	2.8119
1285.29	10.16448
1285.34	13.6468
1285.39	5.08399
1285.44	-7.24244
1285.49	-11.80978
1285.54	-8.22595
1285.59	-2.79652
1285.64	-0.69254
1285.69	-2.20287
1285.74	-3.7473
1285.79	-2.80556
1285.84	-0.14005
1285.89	2.25027
1285.94	3.00181
1285.99	2.26038
1286.04	1.88033
1286.09	5.32523
1286.14	11.57538
1286.19	10.68413
1286.24	-0.93357
1286.29	-11.66594
1286.34	-11.74786
1286.39	-4.57028
1286.44	0.80634
1286.49	0.38491
1286.54	-2.68834
1286.59	-3.81542
1286.64	-1.69433
1286.69	1.40384
1286.74	2.94941
1286.79	2.96237
1286.84	4.9259
1286.89	10.68623
