t, ir, imu 
53.46000, -0.00000, 7448.00000
53.51000, -0.33678, 7542.00000
53.56000, -1.52002, 7208.00000
53.61000, -3.56548, 7784.00000
53.66000, -5.90809, 7836.00000
53.71000, -7.19877, 7376.00000
53.76000, -6.84306, 7290.00000
53.81000, -6.12932, 7446.00000
53.86000, -5.92806, 7442.00000
53.91000, -5.87393, 7350.00000
53.96000, -6.60518, 7408.00000
54.01000, -8.64606, 7298.00000
54.06000, -8.14460, 7396.00000
54.11000, -2.35319, 7408.00000
54.16000, 1.68470, 7330.00000
54.21000, -1.35564, 7382.00000
54.26000, -2.22068, 7342.00000
54.31000, 5.20168, 7402.00000
54.36000, 12.18678, 7336.00000
54.41000, 12.90213, 7364.00000
54.46000, 10.54915, 7344.00000
54.51000, 8.44974, 7436.00000
54.56000, 7.51869, 7324.00000
54.61000, 6.96653, 7446.00000
54.66000, 5.06104, 7382.00000
54.71000, 2.21869, 7404.00000
54.76000, 1.81232, 7452.00000
54.81000, 4.34071, 7496.00000
54.86000, 6.01180, 7376.00000
54.91000, 4.90699, 7448.00000
54.96000, 2.82025, 7478.00000
55.01000, 1.89127, 7438.00000
55.06000, 1.74360, 7514.00000
55.11000, -0.35831, 7474.00000
55.16000, -3.93760, 7518.00000
55.21000, -3.58356, 7396.00000
55.26000, 0.84179, 7512.00000
55.31000, 3.07557, 7402.00000
55.36000, 1.17244, 7488.00000
55.41000, -1.48366, 7428.00000
55.46000, -1.46864, 7558.00000
55.51000, 0.47474, 7430.00000
55.56000, 1.28004, 7468.00000
55.61000, 1.15894, 7494.00000
55.66000, 1.36721, 7434.00000
55.71000, -0.08872, 7460.00000
55.76000, -3.88249, 7390.00000
55.81000, -4.66590, 7500.00000
55.86000, -0.85871, 7426.00000
55.91000, 1.39079, 7482.00000
55.96000, 0.35885, 7304.00000
56.01000, -0.30367, 7498.00000
56.06000, -1.78335, 7360.00000
56.11000, -6.45936, 7586.00000
56.16000, -7.26874, 7438.00000
56.21000, 0.07867, 7340.00000
56.26000, 6.71685, 7472.00000
56.31000, 6.56079, 7402.00000
56.36000, 3.22947, 7774.00000
56.41000, 0.99391, 7646.00000
56.46000, -1.15142, 7882.00000
56.51000, -4.97034, 7596.00000
56.56000, -5.57542, 8260.00000
56.61000, -0.26532, 8682.00000
