t, ir, imu 
221.03,0.09303,-16348
221.08,-0.77403,-15364
221.13,0.92324,-14690
221.18,2.68204,-15110
221.23,2.17928,-16058
221.28,0.71131,-16852
221.33,0.24635,-16916
221.38,0.48603,-16852
221.43,-0.29779,-17214
221.48,-1.9757,-17358
221.53,-3.35719,-17684
221.58,-4.29707,-17608
221.63,-3.21331,-16986
221.68,-0.17199,-17266
221.73,1.00696,-17044
221.78,0.33752,-16612
221.83,0.72045,-16050
221.88,1.6316,-15380
221.93,1.47837,-14618
221.98,0.72199,-14528
222.03,0.15025,-15300
222.08,-0.32414,-16060
222.13,-1.57317,-16826
222.18,-4.44627,-16610
222.23,-5.79233,-16892
222.28,-1.84898,-17410
222.33,3.73411,-18014
222.38,5.56048,-17878
222.43,4.02732,-17564
222.48,1.82825,-17184
222.53,0.43771,-17424
222.58,0.13445,-17468
222.63,-0.27884,-16872
222.68,-1.90671,-15668
222.73,-3.08715,-14718
222.78,-2.97255,-14256
222.83,-3.32593,-14978
222.88,-2.43314,-15678
222.93,1.39807,-16038
222.98,4.54748,-16412
223.03,4.48425,-16562
223.08,2.57688,-16966
223.13,1.12834,-17154
223.18,1.2159,-17872
223.23,1.44933,-18056
223.28,-0.01141,-17362
223.33,-3.12384,-16868
223.38,-5.61707,-17234
223.43,-4.19087,-17206
223.48,0.40452,-16592
223.53,2.89658,-16256
223.58,1.34085,-16032
223.63,-0.50495,-15424
223.68,-0.0381,-15150
223.73,0.42449,-15242
223.78,-1.57757,-15754
223.83,-3.66885,-16068
223.88,-1.75037,-16164
223.93,2.64515,-16452
223.98,4.33108,-16708
224.03,1.58673,-16662
224.08,-2.50107,-16950
224.13,-2.49429,-17014
224.18,1.27429,-16828
224.23,2.14928,-17090
224.28,-0.7428,-17224
224.33,-2.90354,-16878
224.38,-2.37368,-16962
224.43,-0.29719,-17552
224.48,0.73378,-17196
224.53,1.46754,-16992
224.58,3.86134,-16712
224.63,5.26489,-15744
224.68,3.80127,-15058
224.73,1.93875,-14694
224.78,1.39213,-14230
224.84,1.22659,-15232
224.89,0.86222,-16090
224.94,0.42622,-17528
224.99,-0.26245,-17432
225.04,-1.53739,-16976
225.09,-3.00037,-16826
225.14,-3.66668,-17338
225.19,-3.48279,-17426
225.24,-2.30666,-17370
225.29,-0.19795,-17440
225.34,1.24493,-17648
225.39,1.07392,-17594
225.44,-0.3407,-17284
225.49,-2.35033,-16748
225.54,-3.07354,-16260
225.59,-1.14533,-15398
225.64,0.66264,-14682
225.69,-0.3765,-14584
225.74,-1.20748,-14878
225.79,0.88773,-15504
225.84,3.15608,-16236
225.89,3.00094,-16482
225.94,1.27857,-17124
225.99,0.11251,-17222
226.04,0.03458,-17254
226.09,-0.65182,-17118
226.14,-2.2346,-17030
226.19,-2.19732,-17496
226.24,-0.24916,-17096
226.29,1.04518,-17190
226.34,1.07721,-17120
226.39,0.46544,-17788
226.44,-0.57018,-17616
226.49,-1.09218,-16928
226.54,-0.42156,-16356
226.59,0.80333,-15934
226.64,1.16438,-15638
226.69,0.59398,-15176
226.74,0.62451,-15060
226.79,-0.06821,-15462
226.84,-3.06609,-15792
226.89,-3.97197,-16288
226.94,-0.16431,-16422
226.99,3.81909,-16674
227.04,4.42132,-16930
227.09,1.82696,-17244
227.14,-1.99969,-17628
227.19,-3.35671,-17572
227.24,-1.20178,-17356
227.29,0.89647,-16696
227.34,0.804,-16862
227.39,0.43312,-17520
227.44,1.02428,-17566
227.49,1.18788,-17292
227.54,0.65434,-17008
227.59,0.61866,-16484
227.64,0.85389,-15840
227.69,-0.98419,-15114
227.74,-4.96237,-14768
227.79,-5.23731,-14800
227.84,-0.09403,-15792
227.89,3.78321,-16058
227.94,3.58321,-16334
227.99,2.46197,-17040
228.04,1.944,-17542
228.09,1.3068,-17576
228.14,0.45552,-17492
228.19,-0.12438,-17600
228.24,-0.5608,-17550
228.29,-1.17724,-17556
228.34,-1.76385,-17280
228.39,-1.50928,-17490
228.44,-0.26291,-17544
228.49,0.62706,-17068
228.54,0.25391,-16410
228.59,-1.54869,-15792
228.64,-5.19486,-14976
228.69,-7.50026,-14736
228.74,-3.29106,-15098
228.79,4.32918,-15912
228.84,7.4156,-16436
228.89,5.24166,-16292
228.94,2.0285,-16726
228.99,-0.02972,-16866
229.04,-0.53886,-16792
229.09,-0.38914,-16998
229.14,-0.96804,-17006
229.19,-1.07272,-17484
229.24,0.72761,-18034
229.29,1.47915,-17608
229.34,-0.87108,-16976
229.39,-3.69459,-17126
229.44,-5.59557,-16970
229.49,-4.63874,-16992
229.54,1.13728,-16314
229.59,6.67374,-15824
229.64,7.11161,-15504
229.69,4.32523,-15398
229.74,1.70628,-15122
229.79,0.55468,-15764
229.84,0.33042,-16588
229.89,0.20954,-16664
229.94,-0.01764,-16918
229.99,-0.26999,-16756
230.04,-0.20633,-16544
230.09,0.07565,-17144
230.14,-0.47658,-17900
230.19,-1.82125,-17236
230.24,-2.37959,-17760
230.29,-1.88489,-17080
230.34,-1.27495,-17022
230.39,-0.74959,-17496
230.44,-1.02144,-17816
230.49,-2.50068,-17430
230.54,-2.76353,-16454
230.59,-0.7173,-15052
230.64,0.99848,-14086
230.69,1.22687,-13494
230.74,1.07919,-14462
230.79,0.62071,-15660
230.84,-0.18896,-16162
230.89,-0.74062,-16652
230.94,-0.91256,-16904
230.99,-0.15415,-17224
231.04,1.49713,-17700
231.09,1.75482,-17734
231.14,0.10964,-17762
231.19,-0.49328,-17224
231.24,0.63812,-17294
231.29,1.3934,-16578
231.34,1.24141,-16374
231.39,-1.21065,-16558
231.44,-6.02268,-17424
231.49,-5.82226,-18022
231.54,1.37779,-17576
231.59,5.95127,-16922
231.64,4.07988,-15978
231.69,1.42731,-14806
231.74,1.43547,-14442
