t, ir, imu 
12.68000, -0.00000, -5174.00000
12.73000, 1.09453, -5050.00000
12.78000, 4.75061, -5130.00000
12.83000, 7.49656, -4980.00000
12.88000, 4.11403, -5242.00000
12.93000, -2.37406, -5076.00000
12.98000, -5.85024, -5102.00000
13.03000, -6.50062, -5074.00000
13.08000, -7.31796, -5310.00000
13.13000, -8.92411, -5002.00000
13.18000, -9.93700, -5184.00000
13.23000, -9.39244, -5058.00000
13.28000, -7.92608, -5374.00000
13.33000, -6.58449, -4916.00000
13.38000, -6.15932, -5228.00000
13.43000, -6.46358, -5096.00000
13.48000, -5.15963, -5106.00000
13.53000, -1.35051, -5196.00000
13.58000, 2.09760, -5086.00000
13.63000, 2.99438, -5212.00000
13.68000, 1.93613, -5206.00000
13.73000, 1.00635, -5064.00000
13.78000, 2.91711, -5326.00000
13.83000, 7.65253, -4992.00000
13.88000, 10.87915, -5044.00000
13.93000, 9.77410, -5192.00000
13.98000, 7.06458, -5094.00000
14.03000, 5.77072, -5052.00000
14.08000, 5.15251, -5214.00000
14.13000, 4.26297, -5142.00000
14.18000, 3.14139, -5260.00000
14.23000, 1.98869, -5134.00000
14.28000, 2.40868, -5106.00000
14.33000, 4.29776, -5144.00000
14.38000, 5.03397, -5276.00000
14.43000, 4.09645, -5110.00000
14.48000, 2.93297, -5236.00000
14.53000, 2.32974, -5100.00000
14.58000, 0.91659, -5042.00000
14.63000, -1.98222, -5264.00000
14.68000, -4.06089, -5144.00000
14.73000, -4.42111, -5226.00000
14.78000, -2.11219, -5150.00000
14.83000, 3.11697, -4952.00000
14.88000, 6.63492, -5304.00000
14.93000, 5.77482, -5192.00000
14.98000, 2.87272, -4982.00000
15.03000, 0.20743, -5170.00000
15.08000, -1.46872, -5100.00000
15.13000, -1.97012, -5156.00000
15.18000, -1.57545, -5078.00000
15.23000, -0.90349, -5104.00000
15.28000, -0.83755, -5144.00000
15.33000, -1.67994, -4982.00000
15.38000, -2.17839, -5170.00000
15.43000, -1.77162, -5026.00000
15.48000, -1.54482, -5246.00000
15.53000, -1.89004, -4986.00000
15.58000, -2.16230, -5032.00000
15.63000, -1.70158, -5248.00000
15.68000, -0.81244, -5088.00000
15.73000, -0.96089, -4918.00000
15.78000, -1.95178, -4946.00000
15.83000, -2.08893, -5040.00000
15.88000, -1.56154, -4882.00000
15.93000, -0.73276, -4462.00000
15.98000, 0.67703, -4728.00000
16.03000, 1.57143, -4914.00000
16.08000, 1.11245, -4018.00000
16.13000, 0.03871, -4412.00000
16.18000, -0.29908, -3928.00000
16.23000, -0.05078, -3304.00000
