t, ir, imu 
77.89000, -0.00000, 18596.00000
77.94000, 5525.52809, 17264.00000
77.99000, 6831.31234, 19874.00000
78.04000, 3495.42393, 22248.00000
78.09000, 3485.07795, 22612.00000
78.14000, 1882.57949, 22120.00000
78.19000, 9.26673, 20698.00000
78.24000, -1653.44446, 19182.00000
78.29000, -3076.27551, 19282.00000
78.34000, -3506.14740, 19852.00000
78.39000, -3287.28882, 21156.00000
78.44000, -2848.34718, 21828.00000
78.49000, -2485.34560, 21664.00000
78.54000, -2559.84787, 22014.00000
78.59000, -2454.94655, 21460.00000
78.64000, -2406.74764, 20140.00000
78.69000, -2704.46410, 19704.00000
78.74000, -2603.27879, 19464.00000
78.79000, -2106.44131, 21118.00000
78.84000, -1115.69221, 21130.00000
78.89000, -442.47079, 20082.00000
78.94000, -666.95188, 19530.00000
78.99000, -643.70640, 19760.00000
79.04000, -177.44082, 20988.00000
79.09000, 599.93953, 21764.00000
79.14000, 1190.41929, 20708.00000
79.19000, 911.18494, 21360.00000
79.24000, 931.20664, 19340.00000
79.29000, 593.48356, 19690.00000
79.34000, 388.27541, 20542.00000
79.39000, 1101.66857, 21036.00000
79.44000, 1346.01891, 21222.00000
79.49000, 1334.21729, 20316.00000
79.54000, 944.67284, 20220.00000
79.59000, 701.14276, 21136.00000
79.64000, 1032.32664, 21856.00000
79.69000, 1277.44299, 21722.00000
79.74000, 1072.42073, 22058.00000
79.79000, 883.06206, 20372.00000
79.84000, 239.21814, 21988.00000
79.89000, 337.80207, 21974.00000
79.94000, 676.89072, 22660.00000
79.99000, 497.80244, 24134.00000
80.04000, 902.65793, 24042.00000
80.09000, 736.91284, 21756.00000
80.14000, -446.46111, 18530.00000
80.19000, -1831.94263, -4294886948.00000
80.24000, -1293560170.32543, -4294886948.00000
80.29000, -1693129763.68515, 19276.00000
80.34000, 536627751.26239, 19920.00000
80.39000, 1230956395.09489, 19972.00000
80.44000, 635114931.44463, 22842.00000
80.49000, 613562429.90613, 17954.00000
80.54000, 465943290.51638, -4294887648.00000
80.59000, -954221490.58504, -4294892548.00000
80.64000, -1450282590.18283, -4294893048.00000
80.69000, -604946186.19093, -4294887448.00000
80.74000, -384678196.79486, 17752.00000
80.79000, 1187073542.05487, 21748.00000
80.84000, 1809300005.02941, 27990.00000
80.89000, 1026178483.53079, 30466.00000
80.94000, 848025985.52460, 29318.00000
80.99000, 582598250.39236, 27090.00000
81.04000, 351427170.27503, 21822.00000
81.09000, 173322204.51638, 16742.00000
81.14000, 18761607.37775, 17926.00000
81.19000, -103174546.17644, 16568.00000
81.24000, -198154006.79982, -4294885648.00000
81.29000, -1562488333.85120, 17644.00000
81.34000, -717554231.44787, -4294887448.00000
81.39000, -705629184.23696, -4294891048.00000
81.44000, -1760785063.63903, -4294891048.00000
81.49000, -779568021.65853, -4294888748.00000
81.54000, -541407877.56771, -4294889248.00000
81.59000, -262085324.26180, -4294887648.00000
81.64000, -8789949.99571, -4294886148.00000
81.69000, 164751281.48434, 18770.00000
81.74000, 1598792667.56268, 23046.00000
81.79000, 2096801214.88988, 28062.00000
81.84000, 1224834980.64716, 31768.00000
81.89000, 965585225.26128, 30258.00000
81.94000, 636179083.51439, 23730.00000
81.99000, 354027619.23145, 21582.00000
82.04000, 136450427.59479, 20982.00000
82.09000, -47180406.47177, 18694.00000
82.14000, -189332634.96603, -4294887448.00000
82.19000, -1590469532.84095, -4294887148.00000
82.24000, -2067015106.40415, -4294887948.00000
82.29000, -1180797986.65647, -4294888448.00000
82.34000, -913011156.34305, -4294889748.00000
82.39000, -580180819.98556, -4294890448.00000
82.44000, -298476770.11470, -4294888948.00000
82.49000, -84384795.87965, -4294888148.00000
82.54000, 93513027.73585, -4294887948.00000
82.59000, 228371941.42085, -4294886648.00000
82.64000, 327683182.09187, 18932.00000
82.69000, 1689473079.29398, 24072.00000
82.74000, 2130215711.52019, 29556.00000
82.79000, 1212445354.20067, 30912.00000
82.84000, 917195499.48290, 27658.00000
82.89000, 561039417.89083, 22656.00000
82.94000, 260042241.52981, 20876.00000
82.99000, 30512267.35496, 19696.00000
83.04000, -159199052.39928, 18768.00000
83.09000, -302528048.09689, 17230.00000
83.14000, -407275572.66206, -4294888948.00000
83.19000, -1771800384.58150, -4294888148.00000
83.24000, -2212918095.26447, -4294889248.00000
83.29000, -1293509918.90083, -4294889248.00000
83.34000, -994951528.94594, -4294890748.00000
83.39000, -634142883.09874, -4294889948.00000
83.44000, -327456036.26663, -4294889748.00000
83.49000, -91483848.25789, -4294889948.00000
83.54000, 105159389.33651, -4294889448.00000
83.59000, 255675760.78082, 16544.00000
83.64000, 1661219156.54815, 21734.00000
83.69000, 2138869181.39096, 26826.00000
83.74000, 1251059453.55244, 30912.00000
83.79000, 979539901.93437, 32718.00000
83.84000, 641344395.73850, 28676.00000
83.89000, 353096317.35379, 26478.00000
83.94000, 131686332.30931, 21870.00000
83.99000, -53954884.50905, 20008.00000
84.04000, -196685194.93810, -4294886148.00000
84.09000, -1597303226.04479, -4294888948.00000
84.14000, -2072530644.75094, -4294891748.00000
84.19000, -1184445543.12432, -4294892548.00000
84.24000, -914451974.22410, -4294892248.00000
84.29000, -579252770.64495, -4294891548.00000
84.34000, -295161432.45442, -4294890748.00000
84.39000, -78777876.70646, -4294889448.00000
84.44000, 101230563.68306, -4294889448.00000
84.49000, 237956555.85312, -4294888448.00000
84.54000, 338848678.49431, 16640.00000
84.59000, 1701909295.01374, 22030.00000
84.64000, 2143603218.94300, 24204.00000
84.69000, 1226466508.89029, 26672.00000
84.74000, 931547395.31061, 24682.00000
84.79000, 575440171.15662, 24200.00000
84.84000, 274235467.34612, 23734.00000
84.89000, 44271058.47686, 22336.00000
84.94000, -146069609.49207, 18616.00000
84.99000, -290187857.57403, 20282.00000
85.04000, -395848273.75626, 18538.00000
85.09000, -467820256.83038, 18520.00000
85.14000, -510435875.58578, -4294886148.00000
85.19000, -1821883803.83632, -4294886148.00000
85.24000, -2218759468.58580, -4294886148.00000
85.29000, -1263198990.73455, -4294887148.00000
85.34000, -936012984.18972, -4294888148.00000
85.39000, -553424953.88096, -4294888448.00000
85.44000, -231111684.43185, -4294887648.00000
85.49000, 15035631.09759, 17540.00000
85.54000, 1510664149.72533, 19018.00000
85.59000, 2062116580.35580, 22660.00000
85.64000, 1235871216.88457, 26534.00000
85.69000, 1014390494.47852, 26754.00000
85.74000, 715435975.81350, 25938.00000
85.79000, 456843318.32027, 22174.00000
85.84000, 256490144.04826, 20656.00000
85.89000, 84362363.65042, 20174.00000
85.94000, -51370148.59231, 19558.00000
85.99000, -156962477.96743, 20892.00000
86.04000, -235735966.30312, 20448.00000
86.09000, -290665827.33786, 19320.00000
86.14000, -325128508.04302, 17920.00000
86.19000, -342117627.71329, 17900.00000
86.24000, -344521489.55024, -4294885348.00000
86.29000, -1628590473.52802, -4294888748.00000
86.34000, -2009257132.69228, -4294889248.00000
86.39000, -1046996050.77863, -4294887948.00000
86.44000, -721040187.88782, -4294885848.00000
86.49000, -346142876.36227, 16628.00000
86.54000, 1256941342.01612, 17978.00000
86.59000, 1886023701.55649, 21942.00000
86.64000, 1132536639.89111, 24678.00000
86.69000, 968570407.50295, 27788.00000
86.74000, 716210639.55840, 27506.00000
86.79000, 494203942.20486, 26622.00000
86.84000, 321286304.43196, 23690.00000
86.89000, 168720539.23428, 21756.00000
86.94000, 45677725.12625, 20098.00000
86.99000, -53073884.78076, 19940.00000
87.04000, -129900366.37152, 19262.00000
87.09000, -186889925.16018, 17958.00000
87.14000, -226599017.41965, -4294886648.00000
87.19000, -1544834534.24636, -4294886148.00000
87.24000, -1956270226.67851, -4294886948.00000
87.29000, -1021226563.73820, -4294888148.00000
87.34000, -718873210.49120, -4294886948.00000
87.39000, -363984520.34882, -4294887948.00000
87.44000, -70968869.09293, -4294887648.00000
87.49000, 145371575.44398, -4294885648.00000
87.54000, 318042926.49625, 18030.00000
87.59000, 1735239569.43859, 22144.00000
87.64000, 2218270363.02025, 25130.00000
87.69000, 1331059101.52744, 27796.00000
87.74000, 1055937345.49511, 27856.00000
87.79000, 711152781.07274, 25354.00000
87.84000, 414122915.36243, 23474.00000
87.89000, 182485222.08534, 18310.00000
87.94000, -14188706.96338, 17004.00000
87.99000, -168225107.02990, -4294885848.00000
88.04000, -1579982137.31235, -4294885848.00000
88.09000, -2065832114.57816, 16574.00000
88.14000, 105974058.01381, 16792.00000
88.19000, 766685829.57431, -4294886148.00000
