t, ir, imu 
158.72000, -0.00000, 30166.00000
158.77000, 9010.91759, 29782.00000
158.82000, 11679.00489, 29660.00000
158.87000, 5084.85902, 29974.00000
158.92000, 3198.64864, 29884.00000
158.97000, 883.82549, 30036.00000
159.02000, -1011.99293, 29832.00000
159.07000, -2369.52557, 30178.00000
159.12000, -3333.06216, 30246.00000
159.17000, -3910.22829, 30144.00000
159.22000, -4392.31607, 29742.00000
159.27000, -4706.24594, 29634.00000
159.32000, -4735.97603, 30182.00000
159.37000, -4311.51481, 30134.00000
159.42000, -3913.99685, 29938.00000
159.47000, -3658.03605, 30054.00000
159.52000, -3173.68390, 29790.00000
159.57000, -2715.66573, 30076.00000
159.62000, -2163.22937, 30068.00000
159.67000, -1570.75950, 29736.00000
159.72000, -1228.41743, 29854.00000
159.77000, -756.24348, 29898.00000
159.82000, -241.36208, 30088.00000
159.87000, 192.51167, 29916.00000
159.92000, 497.67106, 29774.00000
159.97000, 686.34396, 29850.00000
160.02000, 953.50236, 29786.00000
160.07000, 1154.08477, 29664.00000
160.12000, 1237.30882, 30134.00000
160.17000, 1487.09127, 29978.00000
160.22000, 1566.98267, 29846.00000
160.27000, 1437.36451, 30048.00000
160.32000, 1480.50009, 29894.00000
160.37000, 1423.20546, 29592.00000
160.42000, 1196.84674, 30034.00000
160.47000, 1247.02991, 29938.00000
160.52000, 1212.87324, 29640.00000
160.57000, 935.48448, 29730.00000
160.62000, 831.98285, 30218.00000
160.67000, 921.07302, 29632.00000
160.72000, 664.18584, 29660.00000
160.77000, 403.03463, 29810.00000
160.82000, 449.03718, 30134.00000
160.87000, 455.85590, 29558.00000
160.92000, 198.34556, 29568.00000
160.97000, -5.65807, 30032.00000
161.02000, 153.83957, 29772.00000
161.07000, 68.78826, 29570.00000
161.12000, -153.97574, 29560.00000
161.17000, -179.72168, 29948.00000
161.22000, -64.77734, 29594.00000
161.27000, -148.82450, 29876.00000
161.32000, -184.19385, 29848.00000
161.37000, -114.84783, 29864.00000
161.42000, -177.23421, 29782.00000
161.47000, -204.56914, 29706.00000
161.52000, -244.61399, 30006.00000
161.57000, -146.55874, 29642.00000
161.62000, -202.41071, 29792.00000
161.67000, -236.97250, 29726.00000
161.72000, -163.90472, 29804.00000
161.77000, -155.53606, 29652.00000
161.82000, -159.50778, 29798.00000
161.87000, -121.22363, 29818.00000
161.92000, -51.36286, 29920.00000
161.97000, -24.50235, 29674.00000
162.02000, -77.15148, 29936.00000
162.07000, -31.98488, 29424.00000
162.12000, -104.38225, 29466.00000
162.17000, -179.71866, 29892.00000
162.22000, 67.79180, 29848.00000
162.27000, 118.31318, 29762.00000
162.32000, 30.82797, 29840.00000
162.37000, 56.25465, 29916.00000
162.42000, 92.87921, 29550.00000
162.47000, -26.15447, 29478.00000
162.52000, -103.42268, 29994.00000
162.57000, 111.68074, 29508.00000
162.62000, 41.72869, 29894.00000
162.67000, 23.38258, 29678.00000
162.72000, 87.66988, 29926.00000
162.77000, 62.56045, 29458.00000
162.82000, -19.38534, 29832.00000
162.87000, -5.43953, 29468.00000
162.92000, 4.42538, 29868.00000
162.97000, 23.02268, 29588.00000
163.02000, 49.76056, 29706.00000
163.07000, -14.83271, 29728.00000
163.12000, 51.84007, 29614.00000
163.17000, -4.35250, 29530.00000
163.22000, -48.31819, 30096.00000
163.27000, 135.35916, 29632.00000
163.32000, 67.13771, 29580.00000
163.37000, -107.20007, 29838.00000
163.42000, 37.95569, 29692.00000
163.47000, 20.23715, 29482.00000
163.52000, -97.28205, 30154.00000
163.57000, 109.49824, 29216.00000
163.62000, -68.96376, 29962.00000
163.67000, -62.63877, 29904.00000
163.72000, 166.69204, 29324.00000
163.77000, -152.61742, 29792.00000
163.82000, -64.71693, 29606.00000
163.87000, 37.28184, 29564.00000
163.92000, -73.08795, 29692.00000
163.97000, 3.59871, 29748.00000
164.02000, 47.56604, 29702.00000
164.07000, 21.67867, 29546.00000
164.12000, -40.88188, 29676.00000
164.17000, -13.60950, 29710.00000
164.22000, 37.72278, 29674.00000
164.27000, 12.26866, 29480.00000
164.32000, -55.53217, 29724.00000
164.37000, 3.07792, 29706.00000
164.42000, 59.62393, 29410.00000
164.47000, -71.64093, 29726.00000
164.52000, -1.91619, 29810.00000
164.57000, 109.50075, 29560.00000
164.62000, -14.72504, 29792.00000
164.67000, 16.24134, 29500.00000
164.72000, -10.87610, 29964.00000
164.77000, 51.24825, 29426.00000
164.82000, -13.39556, 29788.00000
164.87000, -45.98689, 29508.00000
164.92000, -0.61122, 29576.00000
164.97000, -69.84465, 29512.00000
165.02000, -27.53757, 29774.00000
165.07000, 40.20143, 29616.00000
165.12000, 36.15684, 29566.00000
165.17000, -44.67188, 29710.00000
165.22000, 28.48879, 29686.00000
165.27000, 42.39169, 29496.00000
165.32000, -44.76142, 29608.00000
165.37000, -29.30245, 29694.00000
165.42000, 43.39419, 29646.00000
165.47000, 21.78827, 29546.00000
165.52000, -28.05131, 29970.00000
165.57000, 93.88200, 29310.00000
165.62000, -47.64954, 29708.00000
165.67000, -74.85514, 29638.00000
165.72000, 58.94817, 29330.00000
165.77000, -104.25492, 29806.00000
165.82000, 26.53728, 29668.00000
165.87000, 94.64832, 29330.00000
165.92000, -106.93257, 29914.00000
165.97000, 56.61287, 29468.00000
166.02000, 45.58958, 29668.00000
166.07000, -45.32944, 29510.00000
166.12000, 5.04677, 29454.00000
166.17000, -71.07880, 29606.00000
166.22000, 8.82364, 29872.00000
166.27000, 121.04659, 29398.00000
166.32000, -20.35230, 29828.00000
166.37000, 9.09791, 29216.00000
166.42000, -56.35087, 29938.00000
166.47000, 18.40215, 28450.00000
166.52000, -241.11212, 28064.00000
166.57000, -629.27269, 29344.00000
166.62000, 25.38136, 30150.00000
166.67000, 544.97026, 32332.00000
166.72000, 1114.60036, 30116.00000
166.77000, 494.72448, 29062.00000
166.82000, -586.14596, 32088.00000
166.87000, 473.14981, 34804.00000
166.92000, 1715.12428, 37018.00000
166.97000, 2028.65492, 38046.00000
167.02000, 1827.19418, 36512.00000
167.07000, 609.49663, 32892.00000
167.12000, -1359.89020, 30398.00000
167.17000, -2624.63514, 31466.00000
167.22000, -2057.31287, 34646.00000
167.27000, -386.80047, 31676.00000
167.32000, -867.37914, 30434.00000
167.37000, -1912.00298, 34218.00000
167.42000, -225.94538, 35762.00000
167.47000, 1022.63252, 37518.00000
167.52000, 1174.52018, 34144.00000
167.57000, 27.10268, 31356.00000
167.62000, -1676.36386, 31286.00000
167.67000, -1508.05290, 33624.00000
167.72000, -222.13400, 33982.00000
167.77000, 386.59880, 36056.00000
167.82000, 845.04092, 36630.00000
167.87000, 1219.08740, 36366.00000
167.92000, 728.65743, 35856.00000
167.97000, 266.18782, 35694.00000
168.02000, 15.48239, 33464.00000
168.07000, -729.08332, 33394.00000
168.12000, -1006.27809, 35242.00000
168.17000, -9.04273, 34572.00000
168.22000, 115.79819, 33114.00000
168.27000, -614.67564, 32232.00000
168.32000, -848.42755, 34108.00000
168.37000, -30.29884, 34788.00000
168.42000, 672.60185, 34040.00000
168.47000, 309.73620, 33354.00000
168.52000, -58.60703, 32460.00000
168.57000, -285.42337, 30858.00000
168.62000, -726.45374, 32364.00000
168.67000, -171.85158, 34134.00000
168.72000, 961.36394, 31200.00000
168.77000, 122.80559, 31904.00000
168.82000, -224.87493, 33006.00000
168.87000, 718.92892, 33208.00000
168.92000, 790.07142, 34126.00000
168.97000, 906.24804, 32916.00000
169.02000, 543.69774, 32014.00000
169.07000, -146.91859, 32660.00000
169.12000, 68.39701, 33370.00000
169.17000, 462.68621, 32440.00000
169.22000, 125.12665, 32622.00000
169.27000, -64.47108, 32994.00000
169.32000, 184.54728, 31688.00000
169.37000, -237.68634, 32130.00000
169.42000, -318.36764, 32126.00000
169.47000, -38.10184, 32506.00000
169.52000, 27.39360, 32580.00000
169.57000, 122.62104, 32194.00000
169.62000, -52.87621, 31424.00000
169.67000, -350.73623, 31910.00000
169.72000, -219.48402, 32358.00000
169.77000, 131.91064, 32304.00000
169.82000, 113.46761, 31378.00000
169.87000, -231.62129, 32136.00000
169.92000, -93.00124, 31812.00000
169.97000, 53.42480, 32456.00000
170.02000, 104.94533, 32982.00000
170.07000, 399.82400, 33608.00000
170.12000, 504.93709, 32780.00000
170.17000, 163.85220, 32830.00000
170.22000, -109.93106, 31062.00000
170.27000, -580.35623, 29892.00000
170.32000, -1157.77021, 27602.00000
170.37000, -1594.51306, 30058.00000
170.42000, -705.69535, 32890.00000
170.47000, 1085.95801, 34540.00000
170.52000, 1670.33174, 33940.00000
170.57000, 1197.09833, 36662.00000
170.62000, 1478.18429, 36810.00000
170.67000, 1607.12669, 34122.00000
170.72000, -22.98633, 32412.00000
170.77000, -1187.53350, 35862.00000
170.82000, -91.71790, 33872.00000
170.87000, -97.49142, 28076.00000
170.92000, -2663.96756, 31892.00000
170.97000, -1704.64223, 32852.00000
171.02000, 194.47346, 31820.00000
171.07000, -408.53748, 31132.00000
171.12000, -647.33719, 33826.00000
171.17000, 384.68064, 33412.00000
171.22000, 737.98254, 32244.00000
171.27000, -86.80007, 31760.00000
171.32000, -288.24452, 31024.00000
171.37000, -383.00291, 31922.00000
171.42000, -58.61331, 31512.00000
171.47000, 146.96611, 31658.00000
171.52000, 73.17318, 32312.00000
171.57000, 429.10674, 31964.00000
171.62000, 391.60172, 32752.00000
171.67000, 469.92222, 32280.00000
171.72000, 439.91720, 31464.00000
171.77000, -43.18978, 32334.00000
171.82000, 165.17515, 30748.00000
171.87000, -107.52527, 31760.00000
171.92000, -125.23204, 31658.00000
