t, ir, imu 
857.56000, -0.00000, -4294886448.00000
857.61000, -1293552653.14883, 20716.00000
857.66000, -399562353.71674, 26270.00000
857.71000, 936204318.16255, 27098.00000
857.76000, 294762551.14383, 29586.00000
857.81000, 340359802.15438, 31742.00000
857.86000, 273206161.47527, 31116.00000
857.91000, 192738827.04797, 24992.00000
857.96000, 146595137.15853, 21570.00000
858.01000, 96242330.13210, -4294889948.00000
858.06000, -1237829185.56447, -4294895648.00000
858.11000, -1671382145.29665, -4294891748.00000
858.16000, -763364583.11564, -4294889248.00000
858.21000, -490968510.68233, 17638.00000
858.26000, 1125649011.54295, 24328.00000
858.31000, 1785731587.37848, 24698.00000
858.36000, 1033650468.56877, 22518.00000
858.41000, 880411147.42459, 18610.00000
858.46000, 634261021.77447, 18748.00000
858.51000, 417302492.27649, -4294885348.00000
858.56000, -1044641426.53999, -4294886148.00000
858.61000, -1592985342.36925, -4294895648.00000
858.66000, -776317928.17089, -4294896648.00000
858.71000, -576975337.89271, -4294896348.00000
858.76000, -310162805.85970, -4294889748.00000
858.81000, -90640544.83112, 17894.00000
858.86000, 1359319176.93178, 23356.00000
858.91000, 1884264597.97790, 28178.00000
858.96000, 1035984237.91617, 30968.00000
859.01000, 799407607.17001, 31742.00000
859.06000, 492038661.92523, 28806.00000
859.11000, 230577914.69827, 23844.00000
859.16000, 32465231.34602, 17118.00000
859.21000, -133084803.77470, 16808.00000
859.26000, -258612250.75323, -4294885848.00000
859.31000, -1644627097.67330, -4294892048.00000
859.36000, -2107591091.42769, -4294887148.00000
859.41000, -1209328263.60251, 19606.00000
859.46000, 362546247.45333, 22336.00000
859.51000, 1103997514.24185, 19504.00000
859.56000, 457135971.61173, 21346.00000
859.61000, 382762243.37149, 21178.00000
859.66000, 225344697.40639, -4294885648.00000
859.71000, -1202670196.92928, -4294889248.00000
859.76000, -1692825855.08556, -4294894048.00000
859.81000, -833087337.37236, -4294896848.00000
859.86000, -592321361.51021, -4294894348.00000
859.91000, -288897631.59814, -4294893048.00000
859.96000, -38164636.32184, -4294887448.00000
860.01000, 144485897.23753, 23218.00000
860.06000, 1584530032.57181, 25768.00000
860.11000, 2088228714.71427, 28186.00000
860.16000, 1221798602.96772, 30894.00000
860.21000, 967339658.77329, 31516.00000
860.26000, 642169791.58322, 26098.00000
860.31000, 363607693.73933, 23438.00000
860.36000, 148970653.79291, -4294886148.00000
860.41000, -1325908859.79226, 17048.00000
860.46000, -572368443.35732, -4294891748.00000
860.51000, -636597578.76341, -4294892548.00000
860.56000, -1753964114.88429, 20384.00000
860.61000, 471569135.61179, 25136.00000
860.66000, 1071524710.16669, 22930.00000
860.71000, 387090231.48311, 21518.00000
860.76000, 327007023.01131, 20212.00000
860.81000, 149272500.60215, -4294885648.00000
860.86000, -1281397381.36455, -4294889248.00000
860.91000, -1774244721.55757, -4294890748.00000
860.96000, -915007987.98346, -4294893048.00000
861.01000, -672154203.28269, -4294896648.00000
861.06000, -365179030.95081, -4294893548.00000
861.11000, -109475812.54746, -4294885848.00000
861.16000, 79167032.01828, 20922.00000
861.21000, 1525916056.69423, 25606.00000
861.26000, 2036773822.64322, 28044.00000
861.31000, 1177711011.73092, 30602.00000
861.36000, 930617616.66270, 32314.00000
861.41000, 612636451.47393, 28188.00000
861.46000, 340939484.55670, 22514.00000
861.51000, 132725976.40055, 17128.00000
861.56000, -42700146.23108, 16730.00000
861.61000, -177841960.54239, -4294889248.00000
861.66000, -1573164484.84301, -4294894348.00000
861.71000, -2045066566.87514, 17488.00000
861.76000, 138240939.81111, 21804.00000
861.81000, 808089084.72928, 21400.00000
861.86000, 206252317.43789, 20192.00000
861.91000, 193871005.84008, 21734.00000
861.96000, 67523991.94410, 17208.00000
862.01000, -28513940.14577, -4294891048.00000
862.06000, -1381224868.88767, -4294892848.00000
862.11000, -1829791204.82577, -4294898948.00000
862.16000, -923656752.06430, -4294899248.00000
862.21000, -645754994.22105, -4294892548.00000
862.26000, -311172789.56977, -4294886148.00000
862.31000, -34559733.90172, 21134.00000
862.36000, 1462190085.05680, 25754.00000
862.41000, 2024162730.84357, 29756.00000
862.46000, 1203806157.17289, 31948.00000
862.51000, 986812291.95536, 32490.00000
862.56000, 691514644.38196, 28822.00000
862.61000, 435484587.38240, 24668.00000
862.66000, 237050628.30886, -4294888148.00000
862.71000, -1227248053.00558, -4294893848.00000
862.76000, -1761546377.03958, -4294893848.00000
862.81000, -930190737.14980, -4294892048.00000
862.86000, -713624005.11845, 18780.00000
862.91000, 865851917.25498, 22418.00000
862.96000, 1504617545.89979, 23260.00000
863.01000, 744624043.13667, 22352.00000
863.06000, 594547255.53180, 21228.00000
863.11000, 360462935.29508, 16708.00000
863.16000, 162493638.78305, -4294889448.00000
863.21000, -1275328765.18291, -4294895648.00000
863.26000, -1796015243.79434, -4294901548.00000
863.31000, -949555312.33556, -4294899448.00000
863.36000, -719495706.11684, -4294893348.00000
863.41000, -422067534.40710, 17272.00000
863.46000, 1120680882.31326, 22712.00000
863.51000, 1704696955.52097, 26640.00000
863.56000, 919772463.35114, 30288.00000
863.61000, 736305085.59475, 32598.00000
863.66000, 474723926.64200, 32334.00000
863.71000, 252183615.70043, 27558.00000
863.76000, 85902689.68288, 22388.00000
863.81000, -54275748.73369, -4294888748.00000
863.86000, -1454050878.53932, -4294892548.00000
863.91000, -1932303384.44418, -4294895148.00000
863.96000, -1050689406.18909, -4294889948.00000
864.01000, -789449904.74112, 21488.00000
864.06000, 828638198.75179, 22982.00000
864.11000, 1500329706.24198, 22212.00000
864.16000, 767739145.46906, 20790.00000
864.21000, 639843463.28638, 19132.00000
864.26000, 423078828.70869, -4294887148.00000
864.31000, -1055593735.86505, -4294888148.00000
864.36000, -1590608006.22777, -4294892848.00000
864.41000, -770291562.97143, -4294900448.00000
864.46000, -563167954.85143, -4294897948.00000
864.51000, -288080386.23318, -4294890748.00000
864.56000, -60609102.12389, 17986.00000
864.61000, 1397057392.14470, 22916.00000
864.66000, 1928903417.77143, 27402.00000
864.71000, 1086554362.21929, 31284.00000
864.76000, 854790272.08404, 33262.00000
864.81000, 551031286.08090, 31592.00000
864.86000, 291961648.77763, 26396.00000
864.91000, 95047019.15944, 20494.00000
864.96000, -70432822.52883, -4294887948.00000
865.01000, -1490484228.58500, -4294890748.00000
865.06000, -1984400309.21010, -4294894048.00000
865.11000, -1114277446.02640, -4294886648.00000
865.16000, -860798354.86772, 22022.00000
865.21000, 752804236.56274, 23818.00000
865.26000, 1422837312.40512, 23912.00000
865.31000, 690979754.13242, 22138.00000
865.36000, 565787369.13940, 20098.00000
865.41000, 353301859.83240, 17078.00000
865.46000, 173675667.22154, -4294890248.00000
865.51000, -1248964459.84159, -4294893548.00000
865.56000, -1757481214.42350, -4294895348.00000
865.61000, -901673787.44006, -4294895648.00000
865.66000, -664870676.96092, -4294891748.00000
865.71000, -363055716.28615, 16388.00000
865.76000, 1181985315.61226, 22374.00000
865.81000, 1766467503.58858, 26716.00000
865.86000, 980450575.10863, 30112.00000
865.91000, 794593970.32587, 32500.00000
865.96000, 529580181.64817, 33088.00000
866.01000, 302802467.72582, 28054.00000
866.06000, 131699646.28948, 22480.00000
866.11000, -13684014.76118, -4294891248.00000
866.16000, -1418868083.16431, -4294891048.00000
866.21000, -1902573368.45570, -4294890248.00000
866.26000, -1026321782.05807, -4294891548.00000
866.31000, -770246641.86282, 19430.00000
866.36000, 842971573.67153, 23722.00000
866.41000, 1510161274.84381, 24668.00000
866.46000, 773484686.46011, 21916.00000
866.51000, 641952834.95369, 21514.00000
866.56000, 422022936.79361, 19462.00000
866.61000, 234219146.73418, -4294887148.00000
866.66000, -1197003821.75855, -4294887648.00000
866.71000, -1714222277.43663, -4294892248.00000
866.76000, -866995501.74996, -4294901548.00000
866.81000, -638453013.08795, -4294895148.00000
866.86000, -344411125.03414, -4294887448.00000
866.91000, -100090952.03546, 20960.00000
866.96000, 1371909295.43966, 24988.00000
867.01000, 1915945878.99567, 28424.00000
867.06000, 1083720619.83169, 32360.00000
867.11000, 860171481.55902, 34224.00000
867.16000, 562886529.87748, 30206.00000
867.21000, 308712953.23597, 23280.00000
867.26000, 115288801.65350, 19064.00000
867.31000, -47934923.93619, -4294891548.00000
867.36000, -1466800224.89923, -4294891048.00000
867.41000, -1960437328.82660, -4294889748.00000
867.46000, -1090787933.40833, 17018.00000
867.51000, 455162286.69963, 22618.00000
867.56000, 1173215166.50133, 24264.00000
867.61000, 505566409.34502, 23426.00000
867.66000, 412991772.28632, 20286.00000
867.71000, 239896893.39924, 19590.00000
867.76000, 92200800.79028, -4294887148.00000
867.81000, -1302869736.10060, -4294887648.00000
867.86000, -1787662214.39710, -4294893848.00000
867.91000, -912221656.87662, -4294896848.00000
867.96000, -659347481.63850, -4294893848.00000
868.01000, -344779909.67946, -4294888948.00000
868.06000, -83545804.35569, 18792.00000
868.11000, 1401997151.18148, 24206.00000
868.16000, 1956459865.02213, 27388.00000
868.21000, 1131825944.71169, 29924.00000
868.26000, 913328570.39268, 31136.00000
868.31000, 618859334.23485, 28734.00000
868.36000, 365568471.59910, 25834.00000
868.41000, 171390451.10258, 22596.00000
868.46000, 6059857.89642, -4294887648.00000
868.51000, -1415994675.14150, -4294889248.00000
868.56000, -1913650606.41942, -4294888448.00000
868.61000, -1048617619.13451, -4294887948.00000
868.66000, -801230827.22458, 21064.00000
868.71000, 805599869.07960, 24076.00000
868.76000, 1468466995.95215, 24212.00000
868.81000, 729291621.90768, 22452.00000
868.86000, 596841357.51408, 20498.00000
868.91000, 377333781.65515, 16780.00000
868.96000, 191062802.23522, -4294888748.00000
869.01000, -1237733402.92375, -4294894848.00000
869.06000, -1751837853.41257, -4294898648.00000
869.11000, -900994673.81303, -4294897148.00000
869.16000, -668498340.32591, -4294891748.00000
869.21000, -370324091.81135, 16714.00000
869.26000, 1171733722.74796, 21768.00000
869.31000, 1753868509.58023, 26872.00000
869.36000, 966106698.98930, 29920.00000
869.41000, 779063650.99340, 31146.00000
869.46000, 513370495.69928, 28426.00000
869.51000, 286365281.63486, 25938.00000
869.56000, 115430986.40806, 26684.00000
869.61000, -29446649.78795, 20722.00000
869.66000, -140291386.30369, 18886.00000
869.71000, -223427654.98566, -4294893848.00000
869.76000, -1575769382.38271, -4294894048.00000
869.81000, -2012738708.73311, 19226.00000
869.86000, 197679140.54955, 22618.00000
869.91000, 887809177.47730, 23508.00000
869.96000, 300132854.28486, 22836.00000
870.01000, 296555070.27268, 20072.00000
870.06000, 174402703.05249, -4294889448.00000
870.11000, -1214891339.91048, -4294890448.00000
870.16000, -1676521679.98167, -4294892048.00000
870.21000, -794801799.63010, -4294895648.00000
870.26000, -537576499.68363, -4294898448.00000
870.31000, -222995305.92279, -4294893848.00000
870.36000, 34542617.51715, 17708.00000
870.41000, 1513810243.67885, 21072.00000
870.46000, 2059811830.09670, 25126.00000
870.51000, 1225171749.17177, 28234.00000
870.56000, 995633503.34773, 31850.00000
870.61000, 689537581.91064, 32468.00000
870.66000, 424433000.84200, 30132.00000
870.71000, 218586687.10110, 23392.00000
870.76000, 42010574.46649, -4294887148.00000
870.81000, -1390641043.54718, -4294895148.00000
870.86000, -1898075411.54997, -4294895348.00000
870.91000, -1041876186.84174, 16754.00000
870.96000, 491265370.51728, 21674.00000
871.01000, 1197373280.92639, 20494.00000
871.06000, 518814673.50147, 22000.00000
871.11000, 416489581.89524, 22620.00000
871.16000, 234875343.48859, 18498.00000
871.21000, 79918316.85315, -4294892248.00000
871.26000, -1321157180.89978, -4294891748.00000
871.31000, -1810728880.44713, -4294895148.00000
871.36000, -938901893.80257, -4294898648.00000
871.41000, -688556710.35463, -4294895348.00000
871.46000, -375525324.81777, -4294890748.00000
871.51000, -114936926.90036, 18630.00000
871.56000, 1370741486.56685, 22962.00000
871.61000, 1926007944.65518, 26500.00000
871.66000, 1102734678.63865, 29674.00000
871.71000, 886047019.97152, 32630.00000
871.76000, 593732304.02207, 31706.00000
871.81000, 342843788.02178, 28432.00000
871.86000, 151226172.25735, 20506.00000
871.91000, -11466413.20245, -4294888948.00000
871.96000, -1430872617.39637, -4294894848.00000
872.01000, -1925931984.59125, -4294900248.00000
872.06000, -1058406799.77309, -4294889248.00000
872.11000, -808665500.54905, 22642.00000
872.16000, 800343879.61053, 21954.00000
872.21000, 1465184476.14413, 22728.00000
872.26000, 727769270.20252, 20924.00000
872.31000, 596856813.84258, -4294886648.00000
872.36000, -914897863.41081, -4294891048.00000
872.41000, -1499650439.24936, -4294888748.00000
872.46000, -697814972.27687, -4294895148.00000
872.51000, -516920527.69043, -4294903848.00000
872.56000, -261439354.11843, -4294893848.00000
872.61000, -50185145.08388, -4294887448.00000
872.66000, 100528080.24289, 21774.00000
872.71000, 1515998853.16118, 25878.00000
872.76000, 2001546299.47062, 30100.00000
872.81000, 1122728435.18735, 33536.00000
872.86000, 860920866.29605, 34332.00000
872.91000, 532730575.30866, 28478.00000
872.96000, 254798958.19565, 24502.00000
873.01000, 43793969.48884, -4294885848.00000
873.06000, -1425058530.54295, -4294888948.00000
873.11000, -1957215283.68190, -4294892248.00000
873.16000, -1118271584.32122, -4294894348.00000
873.21000, -889818300.59164, -4294885348.00000
873.26000, -588768919.70182, 23724.00000
873.31000, 961405010.77692, 22030.00000
873.36000, 1556039579.37671, 22094.00000
873.41000, 784083417.26917, 21214.00000
873.46000, 615227153.98290, -4294886448.00000
873.51000, -924288735.58662, -4294891548.00000
873.56000, -1530322971.61135, -4294890448.00000
873.61000, -744350300.16924, -4294895348.00000
873.66000, -574143335.11685, -4294899748.00000
873.71000, -325132888.91032, -4294892548.00000
873.76000, -116750228.28753, -4294886448.00000
873.81000, 34057211.49170, 21234.00000
873.86000, 1452001809.32953, 26732.00000
873.91000, 1941875763.92499, 28388.00000
873.96000, 1068758273.02360, 30596.00000
874.01000, 813602241.88564, 31172.00000
874.06000, 492646717.20225, 27380.00000
874.11000, 222214708.05631, 23728.00000
874.16000, 18705417.13528, -4294887148.00000
874.21000, -1442876074.39761, -4294888748.00000
874.26000, -1968160957.66418, -4294895348.00000
874.31000, -1122881499.13490, -4294893348.00000
874.36000, -888724048.74283, 21844.00000
874.41000, 710890591.97943, 25488.00000
874.46000, 1371348051.02739, 23684.00000
874.51000, 633741725.46184, 23090.00000
874.56000, 506021344.68942, 20604.00000
874.61000, 293655887.76031, -4294887948.00000
874.66000, -1177279055.98688, -4294891248.00000
874.71000, -1702027406.58304, -4294891248.00000
874.76000, -869642853.31393, -4294896148.00000
874.81000, -649296483.29258, -4294900248.00000
874.86000, -360398374.96654, -4294892548.00000
874.91000, -119003647.11585, 18310.00000
874.96000, 1352298774.42931, 22866.00000
875.01000, 1897161553.63166, 26648.00000
875.06000, 1066954127.50375, 29542.00000
875.11000, 846264788.12241, 32418.00000
875.16000, 552379863.07422, 32990.00000
875.21000, 301901761.74674, 28778.00000
875.26000, 112258584.05316, 22666.00000
875.31000, -47267229.22618, -4294890748.00000
875.36000, -1462646776.64676, -4294893548.00000
875.41000, -1953107783.66767, -4294896348.00000
875.46000, -1080662337.41395, -4294888748.00000
875.51000, -825896016.91572, 24162.00000
875.56000, 788070888.61613, 25134.00000
875.61000, 1457660105.09633, 24916.00000
875.66000, 724670203.68487, 24332.00000
875.71000, 597778713.19971, 20076.00000
875.76000, 383140854.28107, -4294892048.00000
