t, ir, imu 
33.44000, -0.00000, 30812.00000
33.49000, 9203.67557, 29522.00000
33.54000, 11658.26293, 26672.00000
33.59000, 4018.38325, 28154.00000
33.64000, 2385.58126, 27576.00000
33.69000, 636.67712, 29758.00000
33.74000, -728.18345, 29040.00000
33.79000, -1780.78056, 27808.00000
33.84000, -3576.35764, 28362.00000
33.89000, -4079.26437, 28532.00000
33.94000, -4131.81401, 27642.00000
33.99000, -4601.10295, 26414.00000
34.04000, -5007.91852, 28014.00000
34.09000, -4255.13202, 29598.00000
34.14000, -3003.26494, 29054.00000
34.19000, -2829.52895, 27764.00000
34.24000, -3130.17526, 25280.00000
34.29000, -3523.41870, 27290.00000
34.34000, -2486.23826, 27400.00000
34.39000, -1220.62843, 28632.00000
34.44000, -590.12682, 27772.00000
34.49000, -224.09418, 26046.00000
34.54000, -674.38670, 24192.00000
34.59000, -934.81947, 21976.00000
34.64000, -1121.97686, 18450.00000
34.69000, -1621.62280, 16590.00000
34.74000, -1558.35762, 17256.00000
34.79000, -201.96103, 21364.00000
34.84000, 2225.31114, 21458.00000
34.89000, 3248.22405, 19300.00000
34.94000, 2269.32921, 19948.00000
34.99000, 2321.49760, 19596.00000
35.04000, 2626.31467, 20970.00000
35.09000, 2838.08497, 22174.00000
35.14000, 3327.30932, 21442.00000
35.19000, 2787.01601, 22182.00000
35.24000, 2407.85638, 20732.00000
35.29000, 1803.50480, 21218.00000
35.34000, 1289.28404, 21706.00000
35.39000, 1423.20578, 21266.00000
35.44000, 968.16927, 20162.00000
35.49000, 238.04713, 20578.00000
35.54000, 86.61117, 20396.00000
35.59000, 83.60432, 19934.00000
35.64000, -271.30872, 20504.00000
35.69000, -202.44416, 20254.00000
35.74000, -209.32409, 20988.00000
35.79000, -170.96904, 21258.00000
35.84000, -22.05470, 20588.00000
35.89000, -398.87772, 20680.00000
35.94000, -566.06540, 20906.00000
35.99000, -429.71816, 22032.00000
36.04000, -113.95257, 22700.00000
36.09000, 146.17852, 24000.00000
36.14000, 351.30079, 24934.00000
36.19000, 532.01156, 25432.00000
36.24000, 365.24061, 25132.00000
36.29000, -71.50685, 24600.00000
36.34000, -596.52039, 23454.00000
36.39000, -1147.45756, 23368.00000
36.44000, -1307.20156, 22574.00000
36.49000, -1347.92326, 22428.00000
36.54000, -1359.76155, 23290.00000
36.59000, -808.84042, 22162.00000
36.64000, -846.49078, 20102.00000
