t, ir, imu 
8.55,0,32492
8.6,9661.35257,32584
8.65,12678.55147,32676
8.7,5712.21704,32844
8.75,3551.93821,32992
8.8,1032.43655,32676
8.85,-1130.95653,32664
8.9,-2649.58231,32662
8.95,-3726.01083,32762
9,-4411.53395,32502
9.05,-4897.27258,32802
9.1,-5006.35966,32754
9.15,-4888.42254,32458
9.2,-4818.2043,32800
9.25,-4379.88674,32564
9.3,-3926.10709,32438
9.35,-3542.83662,32612
9.4,-2891.85689,32394
9.45,-2348.70048,32548
9.5,-1803.58243,32610
9.55,-1173.19981,32782
9.6,-629.01865,32646
9.65,-197.91815,32674
9.7,178.27452,32594
9.75,532.03512,32486
9.8,775.22292,32530
9.85,1038.09253,32456
9.9,1257.24489,32706
9.95,1458.10753,32704
10,1595.92044,32572
10.05,1565.71982,32718
10.1,1617.79251,32628
10.15,1592.63816,32670
10.2,1503.50629,32436
10.25,1365.0735,32492
10.3,1257.77861,32592
10.35,1234.2715,32540
10.4,1098.70228,32728
10.45,1003.8112,32484
10.5,843.10193,32788
10.55,732.35806,32142
10.6,489.11242,32640
10.65,400.21753,32510
10.7,418.6541,32714
10.75,277.41839,32690
10.8,237.82463,32350
10.85,6.86548,32558
10.9,-44.59983,32642
10.95,-2.43831,32794
11,-36.41094,32454
11.05,-188.63446,32508
11.1,-264.25299,32740
11.15,-158.29683,32500
11.2,-219.70407,32558
11.25,-280.81859,32586
11.3,-237.15789,32426
11.35,-273.63588,32666
11.4,-212.98783,32418
11.45,-224.66099,32766
11.5,-159.73719,31530
11.55,-422.39594,32088
11.6,-426.58542,31526
11.65,-257.29181,31698
11.7,-310.43124,29370
11.75,-805.14485,23000
11.8,-2886.57277,27112
11.85,-1667.66668,28114
11.9,606.89501,32316
11.95,1719.9428,33704
12,2711.62591,34512
12.05,2303.00495,36758
12.1,2509.72844,34578
12.15,1469.85592,32084
12.2,-418.04139,31618
12.25,-839.347,33604
12.3,-91.08969,34530
12.35,407.04477,33604
12.4,-138.89328,33260
12.45,-591.06182,33562
12.5,-479.88448,35888
12.55,246.94355,36604
12.6,636.10264,35298
12.65,-183.59101,34562
12.7,-843.13267,34456
12.75,-860.53736,34230
12.8,-863.92205,34570
12.85,-702.93167,32224
12.9,-1230.59194,31200
12.95,-1736.38648,32726
13,-775.848,36334
13.05,900.59577,33292
13.1,312.41979,34138
13.15,-299.34026,31950
13.2,-337.83604,31056
13.25,-982.68818,28450
13.3,-1340.72343,26684
13.35,-1761.78153,27074
13.4,-1002.30584,27474
13.45,-81.29247,29970
13.5,1109.4103,30314
13.55,1745.14737,32162
13.6,2028.24323,34412
13.65,2776.36624,36726
13.7,3132.68411,33564
13.75,1636.47062,32412
13.8,51.09473,33658
13.85,395.2031,34982
13.9,812.22275,40974
13.95,2356.21906,43038
14,3094.40414,34676
14.05,-790.01602,29574
14.1,-4199.28952,23334
14.15,-5508.89301,26008
14.2,-4248.50595,23104
14.25,-2971.7237,27364
14.3,-1513.66902,26062
14.35,-77.17903,26844
14.4,-97.56442,29992
14.45,1590.96653,27470
14.5,1270.7929,31158
14.55,1623.69444,27088
14.6,1191.02173,28616
14.65,450.7632,28644
14.7,1231.13649,30748
14.75,1491.54044,30126
14.8,1422.91322,29762
14.85,695.34508,29282
14.9,386.86088,29310
14.95,203.16564,30978
15,624.80296,30224
15.05,458.58282,30130
15.1,-67.91761,30422
15.15,-19.05787,30168
15.2,-174.57217,29626
15.25,-522.11736,32314
15.3,229.91423,30254
15.35,-72.14402,31028
15.4,-595.58776,32712
15.45,288.45844,33182
15.5,399.67717,30740
15.55,-679.7127,31196
15.6,-1002.54782,30758
15.65,-731.37696,28862
15.7,-1391.54841,28552
15.75,-1492.74696,30326
15.8,-460.23118,31774
15.85,436.45581,32368
15.9,629.93327,35842
15.95,1531.81604,35232
16,1493.25917,32712
16.05,-189.45623,31688
16.1,-958.12288,32456
16.15,-575.8966,32884
16.2,-202.36636,33362
16.25,-79.67096,32236
16.3,-382.56641,31768
16.35,-722.31168,30900
16.4,-809.0276,32148
16.45,-340.18975,32718
16.5,264.64497,33056
16.55,314.38267,31796
16.6,-82.50139,33170
16.65,135.13003,28748
16.7,-832.7711,31352
16.75,-714.19865,31886
16.8,631.03629,26656
16.85,-1216.60052,22978
16.9,-2808.63745,23858
16.95,-1735.22736,27310
17,518.14492,29382
17.05,1897.54101,31242
17.1,2436.37885,33008
17.15,2815.30325,31078
17.2,1839.1172,38564
17.25,3184.79759,35304
17.3,2862.87432,19622
