t, ir 
1265.83000, -0.00000
1265.88000, 0.33678
1265.93000, 3.54069
1265.98000, 11.17006
1266.03000, 15.61970
1266.08000, 8.40439
1266.13000, -4.40466
1266.18000, -10.42255
1266.23000, -6.78353
1266.28000, 0.35222
1266.33000, 3.96292
1266.38000, 2.09979
1266.43000, -1.42544
1266.48000, -2.53119
1266.53000, -1.25201
1266.58000, -0.13751
1266.63000, -0.72380
1266.68000, -1.83883
1266.73000, -1.92786
1266.78000, -1.52204
1266.83000, -0.61218
1266.88000, 3.43366
1266.93000, 8.94226
1266.98000, 6.30659
1267.03000, -6.08641
1267.08000, -15.58852
1267.13000, -14.23959
1267.18000, -6.93128
1267.23000, -1.83137
1267.28000, -1.97563
1267.33000, -4.02850
1267.38000, -4.00493
1267.43000, -1.67201
1267.48000, 0.71962
1267.53000, 1.35357
1267.58000, 0.80571
1267.63000, 0.71083
1267.68000, 2.05027
1267.73000, 6.57737
1267.78000, 12.25267
1267.83000, 9.57298
1267.88000, -2.90373
1267.93000, -12.23563
1267.98000, -10.17904
1268.03000, -1.79896
1268.08000, 3.77265
1268.13000, 2.83743
1268.18000, -0.77334
1268.23000, -2.11168
1268.28000, -0.72950
1268.33000, 1.13725
1268.38000, 2.33422
1268.43000, 2.51853
1268.48000, 1.65768
1268.53000, 1.05013
1268.58000, 2.24051
1268.63000, 6.60537
1268.68000, 11.22218
1268.73000, 7.26565
1268.78000, -4.82336
1268.83000, -12.09447
1268.88000, -8.55532
1268.93000, -0.94211
1268.98000, 2.73933
1269.03000, 1.02994
1269.08000, -2.15848
1269.13000, -3.10669
1269.18000, -1.58999
1269.23000, 0.23890
1269.28000, 0.82354
1269.33000, 0.39850
1269.38000, -0.19801
1269.43000, -0.03526
1269.48000, 3.62969
1269.53000, 10.81180
1269.58000, 11.76906
1269.63000, 0.46854
1269.68000, -11.84647
1269.73000, -12.67117
1269.78000, -4.55994
1269.83000, 1.90239
1269.88000, 1.72033
1269.93000, -1.52404
1269.98000, -2.49711
1270.03000, -0.53882
1270.08000, 1.52028
1270.13000, 2.24534
1270.18000, 1.92606
1270.23000, 1.44580
1270.28000, 3.84021
1270.33000, 9.77349
1270.38000, 10.70106
1270.43000, 0.74949
1270.48000, -10.70998
1270.53000, -12.38776
1270.58000, -5.53696
1270.63000, 0.77967
1270.68000, 1.39272
1270.73000, -1.19718
1270.78000, -2.41568
1270.83000, -0.94668
1270.88000, 1.23155
1270.93000, 2.23913
1270.98000, 2.10288
1271.03000, 1.84938
1271.08000, 4.13042
1271.13000, 9.85378
1271.18000, 11.34356
1271.23000, 2.38660
1271.28000, -9.05539
1271.33000, -12.48430
1271.38000, -7.93222
1271.43000, -2.18948
1271.48000, -0.28498
1271.53000, -1.59526
1271.58000, -2.73963
1271.63000, -1.89580
1271.68000, 0.11053
1271.73000, 1.43355
1271.78000, 1.74247
1271.83000, 1.54180
1271.88000, 2.15298
1271.93000, 6.90678
1271.98000, 12.51636
1272.03000, 8.58454
1272.08000, -3.67071
1272.13000, -11.21504
1272.18000, -8.71964
1272.23000, -2.21535
1272.28000, 1.00259
1272.33000, -0.53396
1272.38000, -2.91478
1272.43000, -2.63018
1272.48000, -0.28050
1272.53000, 1.59987
1272.58000, 2.01233
1272.63000, 1.61223
1272.68000, 2.22161
1272.73000, 6.04486
1272.78000, 10.05347
1272.83000, 6.24498
1272.88000, -4.69894
1272.93000, -11.39848
1272.98000, -8.26455
1273.03000, -1.67563
1273.08000, 0.77292
1273.13000, -0.78174
1273.18000, -1.85757
1273.23000, -0.76661
1273.28000, 1.09148
1273.33000, 2.25821
1273.38000, 2.19309
1273.43000, 1.20265
1273.48000, 1.46197
1273.53000, 5.86904
1273.58000, 10.64808
1273.63000, 6.55499
1273.68000, -5.01894
1273.73000, -11.95716
1273.78000, -9.15365
1273.83000, -2.39687
1273.88000, 0.92625
1273.93000, -0.75817
1273.98000, -3.41167
1274.03000, -3.47739
1274.08000, -1.04248
1274.13000, 1.85399
1274.18000, 3.31619
1274.23000, 2.77332
1274.28000, 1.31142
1274.33000, 1.16939
1274.38000, 5.36180
1274.43000, 11.66812
1274.48000, 9.91935
1274.53000, -1.81604
1274.58000, -11.46697
1274.63000, -11.29248
1274.68000, -5.37371
1274.73000, -0.57778
1274.78000, 0.22921
1274.83000, -1.39296
1274.88000, -2.18840
1274.93000, -0.76068
1274.98000, 1.09846
1275.03000, 1.67669
1275.08000, 1.74103
1275.13000, 2.08913
1275.18000, 2.22797
1275.23000, 3.14793
1275.28000, 7.27774
1275.33000, 10.98409
1275.38000, 5.98627
1275.43000, -5.56888
1275.48000, -12.18264
1275.53000, -9.50743
1275.58000, -3.13470
1275.63000, 0.43941
1275.68000, -0.47799
1275.73000, -3.16171
1275.78000, -3.80545
1275.83000, -1.14568
1275.88000, 2.06003
1275.93000, 2.67923
1275.98000, 1.24839
1276.03000, 0.32940
1276.08000, 3.11536
1276.13000, 10.22675
1276.18000, 13.33285
1276.23000, 5.14055
1276.28000, -7.01197
1276.33000, -11.87604
1276.38000, -8.24628
1276.43000, -2.12389
1276.48000, 0.53772
1276.53000, -1.34080
1276.58000, -3.43973
1276.63000, -2.41790
1276.68000, 0.38306
1276.73000, 2.58842
1276.78000, 3.27250
1276.83000, 2.37162
1276.88000, 0.91264
1276.93000, 0.82264
1276.98000, 4.56590
1277.03000, 10.70358
1277.08000, 9.82876
1277.13000, -1.38586
1277.18000, -11.64916
1277.23000, -11.95315
1277.28000, -5.80701
1277.33000, -1.13802
1277.38000, -0.89671
1277.43000, -2.50018
1277.48000, -2.81530
1277.53000, -0.86585
1277.58000, 1.73654
1277.63000, 2.67123
1277.68000, 1.88355
1277.73000, 1.16293
1277.78000, 1.26092
1277.83000, 1.88860
1277.88000, 5.29013
1277.93000, 11.51929
1277.98000, 11.30495
1278.03000, 0.41985
1278.08000, -9.97695
1278.13000, -10.80582
1278.18000, -5.35431
1278.23000, -0.65154
1278.28000, -0.08906
1278.33000, -2.08035
1278.38000, -3.07019
1278.43000, -1.82118
1278.48000, 0.20965
1278.53000, 1.21397
1278.58000, 0.97281
1278.63000, 1.67704
1278.68000, 6.14571
1278.73000, 11.45589
1278.78000, 8.70477
1278.83000, -2.55377
1278.88000, -11.09538
1278.93000, -9.94939
1278.98000, -3.17629
1279.03000, 1.39261
1279.08000, 0.50819
1279.13000, -2.86785
1279.18000, -4.10733
1279.23000, -1.58596
1279.28000, 1.94581
1279.33000, 3.00139
1279.39000, 1.65974
1279.43000, 1.94888
1279.48000, 7.15576
1279.54000, 11.98170
1279.58000, 7.10353
1279.63000, -4.75154
1279.68000, -11.42899
1279.73000, -8.69547
1279.78000, -2.58490
1279.83000, 0.15138
1279.88000, -1.51858
1279.93000, -3.70405
1279.98000, -3.09586
1280.03000, -0.23945
1280.08000, 2.19925
1280.13000, 2.93052
1280.18000, 2.54417
1280.23000, 2.13608
1280.28000, 4.72608
1280.33000, 11.04851
1280.39000, 11.87833
1280.43000, 1.16001
1280.48000, -10.68519
1280.54000, -12.62990
1280.58000, -6.67308
1280.64000, -0.87124
1280.69000, 0.11806
1280.73000, -1.99893
1280.79000, -2.95427
1280.84000, -1.19025
1280.89000, 1.48779
1280.94000, 2.63290
1280.99000, 1.75662
1281.04000, 1.03181
1281.09000, 4.38399
1281.14000, 10.59957
1281.19000, 9.91082
1281.24000, -0.30745
1281.29000, -9.32911
1281.34000, -9.69599
1281.39000, -4.12938
1281.44000, 0.69206
1281.49000, 0.79300
1281.54000, -1.64950
1281.59000, -2.56788
1281.64000, -1.38078
1281.69000, 0.01058
1281.74000, 0.45110
1281.79000, 0.08863
1281.84000, 0.05958
